Temp,Resistance,Voltage
-40.00,336479.00,4.84
-39.00,314904.00,4.82
-38.00,294848.00,4.81
-37.00,276194.00,4.79
-36.00,258838.00,4.78
-35.00,242681.00,4.76
-34.00,227632.00,4.74
-33.00,213610.00,4.72
-32.00,200539.00,4.70
-31.00,188349.00,4.68
-30.00,176974.00,4.66
-29.00,166356.00,4.64
-28.00,156441.00,4.61
-27.00,147177.00,4.59
-26.00,138518.00,4.56
-25.00,130421.00,4.53
-24.00,122847.00,4.50
-23.00,115759.00,4.47
-22.00,109122.00,4.44
-21.00,102906.00,4.41
-20.00,97081.00,4.38
-19.00,91621.00,4.34
-18.00,86501.00,4.31
-17.00,81698.00,4.27
-16.00,77190.00,4.23
-15.00,72957.00,4.19
-14.00,68982.00,4.15
-13.00,65246.00,4.11
-12.00,61736.00,4.07
-11.00,58434.00,4.03
-10.00,55329.00,3.98
-9.00,52407.00,3.93
-8.00,49656.00,3.89
-7.00,47066.00,3.84
-6.00,44626.00,3.79
-5.00,42327.00,3.74
-4.00,40159.00,3.68
-3.00,38115.00,3.63
-2.00,36187.00,3.58
-1.00,34368.00,3.52
0.00,32650.00,3.47
1.00,31029.00,3.41
2.00,29498.00,3.36
3.00,28052.00,3.30
4.00,26685.00,3.24
5.00,25392.00,3.18
6.00,24170.00,3.13
7.00,23013.00,3.07
8.00,21918.00,3.01
9.00,20882.00,2.95
10.00,19901.00,2.89
11.00,18971.00,2.83
12.00,18090.00,2.77
13.00,17255.00,2.71
14.00,16463.00,2.65
15.00,15712.00,2.59
16.00,14999.00,2.54
17.00,14323.00,2.48
18.00,13681.00,2.42
19.00,13072.00,2.36
20.00,12493.00,2.30
21.00,11942.00,2.25
22.00,11419.00,2.19
23.00,10922.00,2.14
24.00,10450.00,2.08
25.00,10000.00,2.03
26.00,9572.00,1.98
27.00,9165.00,1.92
28.00,8777.00,1.87
29.00,8408.00,1.82
30.00,8057.00,1.77
31.00,7722.00,1.73
32.00,7402.00,1.68
33.00,7098.00,1.63
34.00,6808.00,1.59
35.00,6531.00,1.54
36.00,6267.00,1.50
37.00,6015.00,1.45
38.00,5775.00,1.41
39.00,5545.00,1.37
40.00,5326.00,1.33
41.00,5117.00,1.29
42.00,4917.00,1.25
43.00,4725.00,1.22
44.00,4543.00,1.18
45.00,4368.00,1.15
46.00,4201.00,1.11
47.00,4041.00,1.08
48.00,3888.00,1.05
49.00,3742.00,1.01
50.00,3602.00,0.98
51.00,3468.00,0.95
52.00,3340.00,0.93
53.00,3217.00,0.90
54.00,3099.00,0.87
55.00,2986.00,0.84
56.00,2878.00,0.82
57.00,2774.00,0.79
58.00,2675.00,0.77
59.00,2579.00,0.75
60.00,2488.00,0.72
61.00,2400.00,0.70
62.00,2316.00,0.68
63.00,2235.00,0.66
64.00,2157.00,0.64
65.00,2083.00,0.62
66.00,2011.00,0.60
67.00,1942.00,0.58
68.00,1876.00,0.57
69.00,1813.00,0.55
70.00,1752.00,0.53
71.00,1693.00,0.52
72.00,1637.00,0.50
73.00,1582.00,0.49
74.00,1530.00,0.47
75.00,1480.00,0.46
76.00,1432.00,0.44
77.00,1385.00,0.43
78.00,1340.00,0.42
79.00,1297.00,0.40
80.00,1255.00,0.39
81.00,1215.00,0.38
82.00,1177.00,0.37
83.00,1140.00,0.36
84.00,1104.00,0.35
85.00,1070.00,0.34
86.00,1037.00,0.33
87.00,1005.00,0.32
88.00,974.00,0.31
89.00,944.00,0.30
90.00,916.00,0.29
91.00,888.00,0.28
92.00,861.00,0.28
93.00,835.00,0.27
94.00,811.00,0.26
95.00,787.00,0.25
96.00,764.00,0.25
97.00,741.00,0.24
98.00,720.00,0.23
99.00,699.00,0.23
100.00,679.00,0.22
101.00,659.00,0.21
102.00,640.00,0.21
103.00,622.00,0.20
104.00,605.00,0.20
105.00,588.00,0.19
